area,is_house,has_pool,age,price,lat,lon,rooms,precio_por_m2,habitaciones_por_m2,tamano_Pequeña,tamano_Mediana,tamano_Grande,es_norte,area_por_habitacion,precio_por_habitacion
0.20817977664974618,0.0,0.0,0.5263157894736842,0.29320186818889465,0.9993887816421925,0.003142859152794238,0.25,0.4531924366001893,0.21828164754690202,0.0,1.0,0.0,1.0,0.6462052106674749,0.5729636048526863
0.30438389847715736,0.0,0.0,0.3157894736842105,0.3668915412558381,0.9992377305704193,0.003769453096599325,0.5,0.44935723822670737,0.48977664420725936,0.0,1.0,0.0,1.0,0.346964474390321,0.45303292894280756
0.49238578680203043,0.0,0.0,0.47368421052631576,0.07732226258432798,0.0018035466112561304,0.9939508120307021,0.75,0.01077312910488914,0.4482679705626774,0.0,0.0,1.0,0.0,0.38564942873935304,0.029116117850953204
0.16243565989847716,1.0,1.0,0.47368421052631576,0.3559937727036845,0.9994920269868682,0.0009078021483351322,0.25,0.6421231899011902,0.3758816241399766,1.0,0.0,0.0,1.0,0.45853483511434606,0.6987868284228769
0.5786802030456852,1.0,0.0,0.7894736842105263,0.10793980280228334,0.0016272515748116734,0.996736115487129,0.75,0.025771659798251353,0.28388002450117183,0.0,0.0,1.0,0.0,0.5626656950347937,0.059792027729636044
0.13178238578680201,0.0,0.0,0.3157894736842105,0.22210690192008303,0.9992260991548105,0.0023155633658249078,0.25,0.43165159131337727,0.5055863819923866,1.0,0.0,0.0,1.0,0.33277633603235235,0.4305025996533795
0.4467005076142132,0.0,0.0,0.42105263157894735,0.09444732745199792,0.0010257476727096714,0.9938458470408675,0.5,0.03694563897647301,0.4442292030679616,0.0,0.0,1.0,0.0,0.3895288894642264,0.13435008665511264
0.4567070913705583,0.0,0.0,0.5263157894736842,0.45822522055007786,0.999442588599865,0.005136968876154979,0.75,0.41882455470840274,0.5288001603400853,0.0,0.0,1.0,1.0,0.31246150156526104,0.41074523396880414
0.3197969543147208,1.0,0.0,0.7368421052631579,0.06486766995329528,0.0014926717629695318,0.9895841886594546,0.5,0.030892555584712208,0.4446535011604114,0.0,1.0,0.0,0.0,0.3891203359216167,0.04956672443674177
0.03553299492385787,1.0,0.0,0.5789473684210527,0.014530358069538143,0.0006037274586043457,0.9914375718912133,0.0,0.0404364989392466,0.044293337156211234,1.0,0.0,0.0,0.0,0.916698227625675,0.11126516464471403
0.3298496954314721,0.0,1.0,0.21052631578947367,0.4348728593668915,0.9990190379258231,0.0028071490612159807,0.5,0.5119187245048119,0.41662957904051245,0.0,0.0,1.0,1.0,0.41661533542034807,0.543847487001733
0.27420221319796956,0.0,0.0,0.21052631578947367,0.5729112610275039,0.9993027008226544,0.0032979318976620636,0.5,0.7847328899476358,0.586577913290467,0.0,1.0,0.0,1.0,0.26441530576214056,0.7282495667244367
0.0,0.0,0.0,0.631578947368421,0.0,0.001060010957290653,0.9997437341505857,0.0,0.01525497351286627,0.23420102021346675,1.0,0.0,0.0,0.0,0.6251420243155374,0.053032928942807624
0.3197969543147208,0.0,0.0,0.21052631578947367,0.06175402179553711,0.002053111773086925,0.9921471337627047,0.5,0.02674557249383594,0.4446535011604114,0.0,1.0,0.0,0.0,0.3891203359216167,0.04540727902946274
0.26903553299492383,1.0,0.0,0.5789473684210527,0.057602490918526206,0.0008463333414499082,0.9916929817840466,0.5,0.034296351741739686,0.4442292030679616,0.0,1.0,0.0,0.0,0.3895288894642264,0.13435008665511264
0.949238578680203,1.0,0.0,0.9473684210526315,0.167618059159315,0.0016212204491575612,0.9925546414810512,1.0,0.02125279900195576,0.08253780448051701,0.0,0.0,1.0,0.0,0.8500568097262149,0.0792374350086655
0.05583756345177665,1.0,1.0,0.47368421052631576,0.024390243902439025,0.0018710618455279632,0.9956289396184669,0.25,0.05590997645320108,0.9592547233144166,1.0,0.0,0.0,0.0,0.02120417460168112,0.03431542461005199
0.18781725888324874,1.0,0.0,0.5789473684210527,0.0425531914893617,0.0007410601519640058,0.9932941029326963,0.25,0.0354793702155299,0.28388002450117183,1.0,0.0,0.0,0.0,0.5626656950347937,0.0707105719237435
0.2639593908629442,1.0,0.0,0.3157894736842105,0.05708354955889985,0.001193077476870488,0.9967752966099245,0.5,0.034986950121899826,0.6222732421130756,0.0,1.0,0.0,0.0,0.2364004199020208,0.0391681109185442
0.5431472081218274,1.0,0.0,0.5263157894736842,0.11105345096004152,0.002038255464700031,0.9925840393796119,0.75,0.034686904059017365,0.3469644743903209,0.0,0.0,1.0,0.0,0.4897766442072593,0.06291161178509531
0.34517766497461927,1.0,0.0,0.7368421052631579,0.06434872859366891,0.0017474136535163775,0.9937996156420931,0.5,0.024153708062038266,0.37587818058951433,0.0,0.0,1.0,0.0,0.4585384795668874,0.04887348353552859
