area,is_house,has_pool,age,price,lat,lon,rooms,cluster,distance_from_center,area_per_room,log_area,log_rooms,log_age
69.026929,0,0,13.0,509.0,40.72957492541297,-73.9961240151698,2.0,0,0.020420085357186205,34.5134645,4.234496703821958,0.6931471805599453,2.5649493574615367
67.0,1,1,14.0,137.0,-34.60103075240538,-58.36082054003359,2.0,1,0.019522649938656426,33.5,4.204692619390966,0.6931471805599453,2.6390573296152584
140.0,1,0,8.0,267.0,-34.53309575732486,-58.35492869145977,4.0,1,0.07282924024062355,35.0,4.941642422609304,1.3862943611198906,2.0794415416798357
120.959706,0,0,11.0,1245.0,40.71433395018743,-74.00606052646702,3.0,0,0.002913411890204657,40.319902,4.795457481872713,1.0986122886681098,2.3978952727983707
128.0,0,0,9.0,247.0,-34.6089085606826,-58.39292241614618,3.0,1,0.014678820989668146,42.666666666666664,4.852030263919617,1.0986122886681098,2.1972245773362196
77.0,1,0,18.0,131.0,-34.66644898182981,-58.35923570962375,2.0,1,0.06843675604708398,38.5,4.343805421853684,0.6931471805599453,2.8903717578961645
130.99323,0,1,11.0,1090.0,40.72435868555092,-73.97568258492446,4.0,0,0.03253861135576415,32.7483075,4.875145642476413,1.3862943611198906,2.3978952727983707
146.043516,1,0,15.0,1385.0,40.70500987886442,-74.01383528109908,4.0,0,0.010496924297527199,36.510879,4.983904632093351,1.3862943611198906,2.70805020110221
99.963628,0,0,7.0,772.0,40.70703655672786,-73.99882286547236,3.0,0,0.008059617033816201,33.321209333333336,4.604806399825929,1.0986122886681098,1.9459101490553132
124.0,1,1,17.0,253.0,-34.547561991410284,-58.375851543689926,4.0,1,0.0539727511446867,31.0,4.820281565605037,1.3862943611198906,2.833213344056216
82.033349,0,0,2.0,654.0,40.7273792148954,-74.02127043190927,2.0,0,0.022364858103532646,41.0166745,4.407125859708159,0.6931471805599453,0.6931471805599453
63.0,1,0,17.0,111.0,-34.60829579925626,-58.41138017147775,2.0,1,0.03180769700593263,31.5,4.143134726391533,0.6931471805599453,2.833213344056216
195.0,1,0,19.0,341.0,-34.630484154238566,-58.31191318552812,5.0,1,0.07437233554739155,39.0,5.272999558563747,1.6094379124341003,2.9444389791664403
115.013914,1,0,10.0,1086.0,40.69872715056663,-73.98229838249469,4.0,0,0.02651813969181571,28.7534785,4.7450531123487405,1.3862943611198906,2.302585092994046
64.0,1,0,11.0,131.0,-34.57678858486928,-58.378039634689735,2.0,1,0.02466670461722651,32.0,4.1588830833596715,0.6931471805599453,2.3978952727983707
77.016587,0,0,13.0,572.0,40.70400785134265,-73.9894087988759,2.0,0,0.017786857116244285,38.5082935,4.344020814239494,0.6931471805599453,2.5649493574615367
115.0,0,0,11.0,193.0,-34.63411061444167,-58.33158870961887,4.0,1,0.058738018039971376,28.75,4.74493212836325,1.3862943611198906,2.3978952727983707
57.0,0,0,6.0,95.0,-34.594260881973284,-58.36148620228475,3.0,1,0.020142303825137174,19.0,4.04305126783455,1.0986122886681098,1.791759469228055
50.0,0,0,5.0,97.0,-34.62746720615689,-58.367116609304624,2.0,1,0.029276290707957394,25.0,3.912023005428146,0.6931471805599453,1.6094379124341003
93.0,1,0,17.0,170.0,-34.54017248528214,-58.415728451095816,3.0,1,0.07067326142521484,31.0,4.532599493153256,1.0986122886681098,2.833213344056216
103.0,1,0,15.0,190.0,-34.57367874000471,-58.4600960371477,3.0,1,0.08441860193009053,34.333333333333336,4.634728988229636,1.0986122886681098,2.70805020110221
91.97397,0,1,12.0,753.0,40.73497966251961,-73.95905420148736,3.0,0,0.05211051955887963,30.657989999999998,4.521505602232835,1.0986122886681098,2.4849066497880004
98.0,0,0,10.0,191.0,-34.59450967984229,-58.383538912832094,3.0,1,0.007549045145643192,32.666666666666664,4.584967478670572,1.0986122886681098,2.302585092994046
87.0,0,0,14.0,144.0,-34.59791116659793,-58.407920231837245,2.0,1,0.0277928980030984,43.5,4.465908118654584,0.6931471805599453,2.6390573296152584
79.0,1,0,16.0,147.0,-34.6636095062096,-58.42986586485012,2.0,1,0.0795567629046093,39.5,4.3694478524670215,0.6931471805599453,2.772588722239781
84.0,0,0,4.0,155.0,-34.58037792179834,-58.302417487702456,2.0,1,0.08069539647589305,42.0,4.430816798843313,0.6931471805599453,1.3862943611198906
91.97397,1,0,15.0,833.0,40.67363653595403,-74.03956540503977,3.0,0,0.050867429348206795,30.657989999999998,4.521505602232835,1.0986122886681098,2.70805020110221
99.963628,0,0,6.0,766.0,40.695119974562616,-74.00865313769758,3.0,0,0.01663497632442033,33.321209333333336,4.604806399825929,1.0986122886681098,1.791759469228055
104.98039,0,0,11.0,1232.0,40.71279026882039,-74.00502912633675,3.0,0,0.0014272502795697856,34.99346333333333,4.653773570810586,1.0986122886681098,2.3978952727983707
91.0,0,0,3.0,168.0,-34.65211901872684,-58.4455220925028,2.0,1,0.08262171740078876,45.5,4.51085950651685,0.6931471805599453,1.0986122886681098
83.0,0,0,8.0,139.0,-34.609294610752265,-58.41589572384259,2.0,1,0.036432382762492235,41.5,4.418840607796598,0.6931471805599453,2.0794415416798357
84.0,1,1,11.0,170.0,-34.54666182750745,-58.33227879035926,2.0,1,0.0728044468557906,42.0,4.430816798843313,0.6931471805599453,2.3978952727983707
86.957208,0,0,6.0,690.0,40.712557160745895,-73.99868197627494,2.0,0,0.006961605945634068,43.478604,4.4654161355817905,0.6931471805599453,1.791759469228055
85.00624499999999,0,0,7.0,630.0,40.68610467447309,-73.9628002661847,2.0,0,0.04971190784155717,42.503122499999996,4.44272472437972,0.6931471805599453,1.9459101490553132
96.0,0,0,3.0,172.0,-34.570933436748355,-58.39674795823836,3.0,1,0.03455763785119605,32.0,4.564348191467836,1.0986122886681098,1.0986122886681098
111.019085,1,0,18.0,1029.0,40.70708816159852,-74.01949062148067,3.0,0,0.014604421131215054,37.00636166666667,4.70970212346981,1.0986122886681098,2.8903717578961645
85.00624499999999,0,0,4.0,639.0,40.73986609484476,-74.0381008776879,2.0,0,0.04319428646669258,42.503122499999996,4.44272472437972,0.6931471805599453,1.3862943611198906
77.016587,1,0,11.0,728.0,40.72044003598524,-73.95281979489553,2.0,0,0.053495838025718494,38.5082935,4.344020814239494,0.6931471805599453,2.3978952727983707
68.004996,0,0,14.0,821.0,40.71237061065376,-74.00567210442233,2.0,0,0.000913523912205239,34.002498,4.21958117306551,0.6931471805599453,2.6390573296152584
103.0,0,0,11.0,219.0,-34.60849089015748,-58.37277374909692,3.0,1,0.010405871579388014,34.333333333333336,4.634728988229636,1.0986122886681098,2.3978952727983707
77.0,1,0,18.0,127.0,-34.548888092966216,-58.3855378817643,2.0,1,0.05271646318184952,38.5,4.343805421853684,0.6931471805599453,2.8903717578961645
67.0,0,0,11.0,119.0,-34.58940971902302,-58.30619042047378,2.0,1,0.07510504485100336,33.5,4.204692619390966,0.6931471805599453,2.3978952727983707
93.0,1,0,12.0,176.0,-34.62244552493263,-58.426856566161526,3.0,1,0.05107690637789636,31.0,4.532599493153256,1.0986122886681098,2.4849066497880004
139.0,0,1,7.0,257.0,-34.62613265851222,-58.332297039788735,4.0,1,0.05405994587633559,34.75,4.9344739331306915,1.3862943611198906,1.9459101490553132
91.04494,0,0,5.0,697.0,40.67863518365544,-74.02198666005734,2.0,0,0.03671073206592875,45.52247,4.511353230768816,0.6931471805599453,1.6094379124341003
114.0,0,0,14.0,187.0,-34.60717740224344,-58.40737733496344,3.0,1,0.027658076238632142,38.0,4.736198448394496,1.0986122886681098,2.6390573296152584
115.013914,0,0,14.0,836.0,40.716142575999335,-74.02388540756205,4.0,0,0.018915774613751463,28.7534785,4.7450531123487405,1.3862943611198906,2.6390573296152584
